x,z
7.5,5.850728693760825
22.5,5.850728693760825
37.5,5.850728693760825
52.5,5.850728693760825
67.5,5.850728693760825
82.5,5.850728693760825
97.5,5.850728693760825
112.5,5.850728693760825
127.5,5.850728693760825
142.5,5.850728693760825
157.5,5.850728693760825
172.5,5.850728693760825
187.5,5.850728693760825
202.5,5.850728693760825
217.5,5.850728693760825
232.5,5.850728693760825
247.5,6.090625764964264
262.5,6.0033904663448325
277.5,6.047008115654549
292.5,5.981581641689974
307.5,6.112434589619122
322.5,6.112434589619122
337.5,6.112434589619122
352.5,6.526802258061426
367.5,6.0033904663448325
382.5,6.068816940309407
397.5,6.090625764964264
412.5,6.047008115654549
427.5,6.286905186857988
442.5,6.4395669594419935
457.5,7.748096438733478
472.5,9.798125956290136
487.5,12.371567265563389
502.5,12.175287843669667
517.5,12.284331966943956
532.5,13.004023180554274
547.5,13.50562614761601
562.5,15.010435048801217
577.5,14.225317361226326
592.5,13.331155550377144
607.5,12.284331966943956
622.5,12.109861369705092
637.5,11.521023104023925
652.5,9.950787728874143
667.5,7.660861140114045
682.5,6.4395669594419935
697.5,6.243287537548271
712.5,6.177861063583697
727.5,6.0033904663448325
742.5,6.0033904663448325
757.5,6.0033904663448325
772.5,6.047008115654549
787.5,5.981581641689974
802.5,6.286905186857988
817.5,6.0033904663448325
832.5,6.0033904663448325
847.5,6.068816940309407
862.5,5.850728693760825
877.5,5.850728693760825
892.5,5.850728693760825
907.5,5.850728693760825
922.5,5.850728693760825
937.5,5.850728693760825
952.5,5.850728693760825
967.5,5.850728693760825
982.5,5.850728693760825
997.5,5.850728693760825
1012.5,5.850728693760825
1027.5,5.850728693760825
1042.5,5.850728693760825
1057.5,5.850728693760825
1072.5,5.850728693760825
1087.5,5.850728693760825
1102.5,5.850728693760825
1117.5,5.850728693760825
